姓名0,电话1,邮箱2,英文名称3,座机、传真4,职位5,公司名称6,地址7,高校8,专业名称9,资格证书10,中国地级市11,专业技术职务12,省份13,银行名称14,邮政编码15,姓氏16
速兴贤,13954278297,lep4dctoh@tech.com,PullanMarian,027-54678650,工人,发宝技术有限公司,武汉制沼路 17号 搜小区 81号楼 7单元 737室,北京第二外国语学院,020209 数量经济学,程序设计师,乌兰察布市,播音指导,宁夏回族自治区,交通银行石家庄分行营业部,,华
少幼仪,15105780051,fr99lgs9q@tech.com,ColcloughDaphne,027-54678651,接待员,欣鼎技术有限公司,武汉了壬路 11号 乔小区 99号楼 8单元 639室,北京语言大学,020210 国防经济,仪器仪表工程师,包头市,一级编剧,新疆维吾尔自治区,交通银行石家庄分行自强路支行,,金
抄真如,18506497836,9ag804s0p@tech.com,JoyceBooth,027-54678652,前台,满安技术有限公司,武汉翱腹路 12号 寄小区 34号楼 8单元 213室,中国传媒大学,03 法学,通信工程师,鄂尔多斯市,一级作曲,海南省,交通银行石家庄分行裕华西路支行,,魏
历红叶,15181834735,cf4ld520s@tech.com,AmeliaMichell,027-54678653,向导,光益技术有限公司,武汉章枷路 12号 琶小区 95号楼 1单元 785室,中央财经大学,0301 法学,广播影视工程师,乌海市,一级导演,西藏自治区,交通银行石家庄分行中山东路支行,,陶
夷奇水,13921537861,7j1a30i2q@tech.com,IrvingOscar,027-54678654,导游,康凯技术有限公司,武汉掩纱路 04号 啥小区 23号楼 6单元 446室,对外经济贸易大学,030101 法学理论,电子工程师,哈尔滨市,一级演员,香港,交通银行石家庄分行水源街支行,,姜
澹台昕昕,18832145217,29c6ha03c@tech.com,KatharineValentina,027-54678655,门卫,百益技术有限公司,武汉唤融路 11号 送小区 91号楼 8单元 528室,北京物资学院,030102 法律史,游戏设计师,黑河市,一级演奏员,澳门,交通银行石家庄分行平安南大街支行,,戚
板之桃,15159179312,8mm7pic8f@tech.com,GalsworthyFitch,027-54678656,保洁员,光复技术有限公司,武汉扯蒙路 08号 古小区 78号楼 8单元 217室,首都经济贸易大学,030103 宪法学与行政法学,电厂化学工程师,伊春市,一级指挥,台湾,交通银行石家庄分行建设南大街支行,,谢
芮绮琴,13643157239,ffr4d4q40@tech.com,YeatesRex,027-54678657,初级工程师,亚飞技术有限公司,武汉茨馁路 12号 何小区 79号楼 4单元 220室,外交学院,030104 刑法学,电厂热能动力装置工程师,齐齐哈尔市,一级美术师,上海市,交通银行石家庄分行体育场支行,,邹
登冷荷,15123997174,9s49hcioe@tech.com,BethuneMiles,027-54678658,中级工程师,鑫本技术有限公司,武汉源潮路 04号 钙小区 36号楼 6单元 119室,中国人民公安大学,030105 民商法学,电厂设备运行与维护工程师,鹤岗市,一级舞美设计师,江苏省,交通银行石家庄分行友谊北大街支行,,喻
步惜芹,15837715841,9m76ksm8n@tech.com,LylyNewman,027-54678659,高级工程师,大台技术有限公司,武汉低执路 08号 媒小区 81号楼 4单元 283室,国际关系学院,030106 诉讼法学,电网监控工程师,佳木斯市,一级律师,浙江省,交通银行唐山丰润支行,,柏
实痴旋,13975293653,9a8j5klmi@tech.com,DohertyFay,027-54678660,资深工程师,康鑫技术有限公司,武汉酌么路 18号 俜小区 62号楼 9单元 863室,北京体育大学,030107 经济法学,发电厂及电力系统工程师,双鸭山市,一级公证员,安徽省,交通银行唐山分行南新道支行,,水
卜冬卉,13973333588,qbip1qagn@tech.com,SandyGordon,027-54678661,科学家,益同技术有限公司,武汉布煞路 13号 链小区 33号楼 8单元 620室,中央音乐学院,030108 环境与资源保护法学,复合材料工程师,绥化市,高级讲师,北京市,交通银行唐山分行人民路支行,,窦
詹温候御府韦,13969203654,tmigsc7jp@tech.com,MaudLyndon,027-54678662,首席科学家,辉丰技术有限公司,武汉疾嘿路 05号 郝小区 44号楼 7单元 152室,中国音乐学院,030109 国际法学,高分子材料工程师,大庆市,高级实习指导教师,天津市,交通银行唐山华育支行,,章
薄冷珍,18525035825,73fd7g199@tech.com,BrayXavier,027-54678663,首席答辩人,富凯技术有限公司,武汉彼到路 09号 枚小区 50号楼 8单元 781室,中央美术学院,030110 军事法学,高压输电工程师,七台河市,副研究员,广东省,交通银行唐山渤海支行,,云
兰梦山,18861062872,949r1csl4@tech.com,LancelotJim,027-54678664,首席品牌官,全伟技术有限公司,武汉逼节路 10号 猿小区 39号楼 7单元 348室,中央戏剧学院,0302 政治学,供用电工程师,鸡西市,副研究员,河北省,交通银行唐山凤凰山支行,,苏
席寄松,13606469868,rido4qjj9@tech.com,AntoniaZachary,027-54678665,首席文化官,鼎高技术有限公司,武汉衬庇路 10号 杂小区 82号楼 6单元 724室,中国戏曲学院,030201 政治学理论,合成材料测试师,牡丹江市,高级工程师,河南省,交通银行唐山开发区支行,,潘
贯思慧,15192716211,1hhb616mo@tech.com,OrlandoSylvia,027-54678666,开发总监,捷丰技术有限公司,武汉祭俑路 10号 套小区 46号楼 1单元 282室,北京电影学院,030202 中外政治制度,火电厂集控运行工程师,长春市,副主任医师,山东省,交通银行唐山幸福道支行,,葛
剧长莹,18882263860,toch7qct5@tech.com,HoyleSetlla,027-54678667,首席执行官,贵巨技术有限公司,武汉怕舜路 17号 匈小区 37号楼 7单元 902室,北京舞蹈学院,030203 科学社会主义与国际共产主义运动,继电保护工程师,白城市,副主任药师,湖北省,交通银行唐山丰南支行,,奚
戢雅容,18508960251,hllm44s66@tech.com,LewisSibyl,027-54678668,首席财务官,如亨技术有限公司,武汉司苯路 10号 旅小区 29号楼 3单元 488室,中央民族大学,030204 中共党史,建筑装饰材料工程师,松原市,副主任护师,湖南省,交通银行秦皇岛分行营业部,,范
佴青梦,18812105169,h9orkn3im@tech.com,HarveyPearl,027-54678669,首席方针制订官,成春技术有限公司,武汉瞎股路 12号 茨小区 13号楼 6单元 343室,中国政法大学,030205 马克思主义理论与思想政治教育,金属材料热处理工程师,吉林市,副主任技师,江西省,交通银行秦皇岛分行,,彭
都莹玉,18550047895,08steh0c8@tech.com,StuartNigel,027-54678670,首席人才官,大高技术有限公司,武汉粘狗路 07号 得小区 91号楼 3单元 297室,华北电力大学,030206 国际政治,农村电气化工程师,四平市,高级农艺师,福建省,交通银行秦皇岛分行车站支行,,郎
公孙晓曼,18829199647,jemr6rmem@tech.com,GladstoneKelly,027-54678671,首席信息官,亨恒技术有限公司,武汉亮蠢路 14号 延小区 40号楼 1单元 226室,中华女子学院,030207 国际关系,热能动力设备工程师,辽源市,高级兽医师,四川省　,交通银行秦皇岛秦皇小区支行,,鲁
贡静曼,18560044465,inkqetk4j@tech.com,FrancisCarter,027-54678672,首席执法官,同亨技术有限公司,武汉卤蕾路 10号 票小区 19号楼 6单元 907室,北京信息科技大学,030208 外交学,小型水电站工程师,白山市,高级畜牧师,重庆市,交通银行秦皇岛迎宾路支行,,韦
蛮运升,13969605828,jc8sm7khd@tech.com,BessiePaula,027-54678673,首席知识官,辉台技术有限公司,武汉帘掠路 19号 侠小区 55号楼 2单元 727室,中国矿业大学（北京）,0303 社会学,冶金工程师,通化市,高级经济师,广西壮族自治区,交通银行秦皇岛北戴河育花路支行,,昌
公羊秀娟,18591976959,mm18fpqd8@tech.com,MortonFrancis,027-54678674,首席律师/工会主席,旺洪技术有限公司,武汉谒铝路 11号 矩小区 76号楼 2单元 673室,中国石油大学（北京）,030301 社会学,制冷冷藏工程师,沈阳市,高级会(审)计师,山西省,交通银行秦皇岛友谊路支行,,马
休若华,15167211251,c1k1aqp7a@tech.com,DickeyHarley,027-54678675,首席市场官,合洪技术有限公司,武汉敦僭路 08号 凑小区 33号楼 6单元 363室,中国地质大学（北京）,030302 人口学,小风电利用师,铁岭市,高级统计师,辽宁省,交通银行秦皇岛长江中道支行,,苗
毋泽民,18570196891,8ft1e9qkn@tech.com,TobyViola,027-54678676,首席谈判官,富皇技术有限公司,武汉纳笔路 06号 位小区 59号楼 2单元 124室,北京联合大学,030303 人类学,电力工程师,阜新市,副研究馆员,吉林省,交通银行秦皇岛工农里支行,,凤
帛良策,13649378517,4pa9f9bph@tech.com,FrancesGuy,027-54678677,首席营运官,裕宝技术有限公司,武汉歉质路 17号 岗小区 15号楼 9单元 768室,北京城市学院,030304 民俗学,防火管理师,抚顺市,主任记者,黑龙江,交通银行秦皇岛分行建兴里支行,,花
花俊悟,15134553392,k5bikfs6i@tech.com,PhilemonHayden,027-54678678,公关总监,伟凯技术有限公司,武汉僦曳路 05号 媒小区 74号楼 3单元 680室,中国青年政治学院,0304 民族学,公共安全管理师,朝阳市,主任编辑,贵州省,交通银行秦皇岛分行出口加工区支行,,方
项新竹,15173488640,raj65n6o5@tech.com,WildMaxwell,027-54678679,质量总监,泰全技术有限公司,武汉咸惹路 10号 裂小区 47号楼 9单元 214室,首钢工学院,030401 民族学,海关管理师,本溪市,副研究馆员,陕西省,交通银行秦皇岛黄河道支行,,俞
蒉鸿志,13900142337,jmqphiln4@tech.com,NoraErin,027-54678680,研究总监,和利技术有限公司,武汉热锥路 18号 淮小区 45号楼 5单元 221室,中国劳动关系学院,030402 马克思主义民族理论与政策,交通管理师,辽阳市,副编审,云南省,交通银行秦皇岛山海关路南支行,,任
昌诗柳,15894287859,haittr500@tech.com,GregoryFrederic,027-54678681,销售总监,瑞隆技术有限公司,武汉久卮路 07号 嗜小区 99号楼 8单元 731室,北京吉利学院,030403 中国少数民族经济,禁毒师,鞍山市,副研究馆员,内蒙古自治区,交通银行秦皇岛北戴河联峰西路支行,,袁
营姗姗,13909853912,7gq8616p6@tech.com,CampChrist,027-54678682,首席技术官,宏祥技术有限公司,武汉翱拐路 18号 貌小区 62号楼 5单元 213室,首都师范大学科德学院,030404 中国少数民族史,经济犯罪侦查师,盘锦市,高级工艺美术师,甘肃省,交通银行太原分行,,柳　
字琳怡,13965092089,5g90dr0mh@tech.com,GissingBoyce,027-54678683,客户总监,本盛技术有限公司,武汉居葡路 10号 岳小区 53号楼 6单元 673室,北京工商大学嘉华学院,030405 中国少数民族艺术,警察管理师,锦州市,高级教练,青海省,交通银行太原分行营业部,,酆
义丽文,13969922664,71rs11a7e@tech.com,ConnieMag,027-54678684,评估总监,巨久技术有限公司,武汉纠装路 18号 俨小区 42号楼 9单元 755室,北京邮电大学世纪学院,04 教育学,警察指挥师,葫芦岛市,副译审,宁夏回族自治区,交通银行太原分行五一路支行,,鲍
辉涵润,15848631550,ksagkhs08@tech.com,JulianaFanny,027-54678685,妇联主席,裕祥技术有限公司,武汉徘谌路 13号 案小区 56号楼 3单元 420室,北京工业大学耿丹学院,0401 教育学,警犬技术师,营口市,主任播音员,新疆维吾尔自治区,交通银行太原分行并州路支行,,史
真云霞,13667659562,9fr2m3i31@tech.com,GodwinMichaelia,027-54678686,首席惊喜官,汇久技术有限公司,武汉谀冀路 13号 钩小区 23号楼 7单元 519室,北京警察学院,040101 教育学原理,警卫师,丹东市,二级编剧,海南省,交通银行太原分行新民中街支行,,唐
周曼妮,15180245016,qp88tamg0@tech.com,BessemerJosephine,027-54678687,,大千技术有限公司,武汉棺头路 17号 逝小区 58号楼 2单元 595室,北京第二外国语学院中瑞酒店管理学院,040102 课程与教学论,抢险救援师,大连市,二级作曲,西藏自治区,交通银行太原府西街支行,,费
微生听云,18877058265,0ftilbir1@tech.com,SilasChristine,027-54678688,,荣千技术有限公司,武汉拿系路 10号 榔小区 47号楼 2单元 197室,中国科学院大学,040103 教育史,森林消防工程师,华东地区,二级导演,香港,交通银行太原兴华街支行,,廉
势香天,13983060075,201skno8q@tech.com,JuliaJared,027-54678689,,仁捷技术有限公司,武汉闻囟路 16号 媳小区 11号楼 4单元 558室,北京工业职业技术学院,040104 比较教育学,网络安全工程师,南京市,二级演员,澳门,交通银行太原建设北路支行,,岑
靳凌蝶,15821376430,hf239i69j@tech.com,MarkPhoebe,027-54678690,,亨自信技术有限公司,武汉且潦路 15号 伪小区 97号楼 1单元 371室,北京信息职业技术学院,040105 学前教育学,消防指挥师,连云港市,二级演奏员,上海市,交通银行太原分行晋安新村分理处,,薛
卓幼旋,15131536613,19s3o1qpq@tech.com,YuleCara,027-54678691,,康丰技术有限公司,武汉男墓路 08号 醒小区 53号楼 4单元 654室,北京电子科技职业学院,040106 高等教育学,刑事技术师,徐州市,二级指挥,江苏省,交通银行太原水西关南街支行,,雷
墨天巧,15108153237,1a22crj0p@tech.com,EdgeworthHarold,027-54678692,,凯大技术有限公司,武汉旱当路 12号 慷小区 32号楼 1单元 307室,北京京北职业技术学院,040107 成人教育学,侦查师,宿迁市,二级美术师,浙江省,交通银行太原菜园西街支行,,贺
帅迎梅,13954841340,bdcs4fpfk@tech.com,NewmanKent,027-54678693,,安祥技术有限公司,武汉蒲晒路 09号 柑小区 78号楼 2单元 511室,北京交通职业技术学院,040108 职业技术教育学,治安管理师,淮安市,二级舞美设计师,安徽省,交通银行太原学府街支行,,倪
己傲菡,18868060370,q63br1i88@tech.com,BelleCarol,027-54678694,,宝干技术有限公司,武汉琶桃路 09号 灼小区 20号楼 8单元 529室,北京青年政治学院,040109 特殊教育学,餐饮管理师,盐城市,主任舞台技师,北京市,交通银行太原文源巷支行,,汤　
尾雨灵,13643845738,h66i2g9lt@tech.com,RudolphAlan,027-54678695,,亨仁技术有限公司,武汉吞皇路 07号 撑小区 96号楼 2单元 400室,北京农业职业学院,040110 教育技术学,餐饮行政总厨,泰州市,二级律师,天津市,交通银行太原分行并州东街分理处,,殷
昔雁山,13912012530,aoi23gj4e@tech.com,HoustonLillian,027-54678696,,优源技术有限公司,武汉诨兜路 12号 鬃小区 92号楼 8单元 786室,北京政法职业学院,0402 心理学,调酒师,扬州市,二级公证员,广东省,交通银行太原朝阳街分理处,,罗
生向山,18877180743,1624dd99o@tech.com,EzekielMarlon,027-54678697,,升聚技术有限公司,武汉淘脱路 04号 芍小区 71号楼 1单元 880室,北京财贸职业学院,040201 基础心理学,会展策划师,镇江市,高级实验师,河北省,交通银行太原上官巷分理处,,毕
庆妙思,13984000153,4mtm5c1ce@tech.com,WillardTammy,027-54678698,,盛圣技术有限公司,武汉谜唇路 04号 毙小区 70号楼 4单元 756室,北京北大方正软件职业技术学院,040202 发展与教育心理学,机电一体化工程师,南通市,高级广告设计师,河南省,交通银行太原城坊西街分理处,,郝
寸诗珊,18566333439,qotsf2l05@tech.com,AustinAndy,027-54678699,,进恒技术有限公司,武汉邓奔路 08号 蜗小区 22号楼 6单元 151室,北京经贸职业学院,040203 应用心理学,景区管理师,常州市,讲师,山东省,交通银行太原亲贤北街分理处,,邬
终翠荷,13604567852,9kfphmf1f@tech.com,KelvinGwendolyn,027-54678700,,正多技术有限公司,武汉慌藏路 16号 治小区 23号楼 5单元 282室,北京经济技术职业学院,0403 体育学,咖啡师,无锡市,一级实习指导教师,湖北省,交通银行晋城分行,,安
权孤云,15148215657,68kdjl719@tech.com,JaneBoris,027-54678701,,金优技术有限公司,武汉汗只路 14号 廖小区 41号楼 2单元 906室,北京戏曲艺术职业学院,040301 体育人文社会学,旅行社管理师,苏州市,助理研究员,湖南省,交通银行晋城分行营业部,,常
牧碧玉,18814904117,snag8o90g@tech.com,RussellBarry,027-54678702,,祥盛技术有限公司,武汉磷练路 14号 谙小区 90号楼 5单元 649室,北京汇佳职业学院,040302 运动人体科学,旅游管理师,杭州市,助理研究员,江西省,交通银行晋城分行矿区支行,,乐
申和煦,18564381295,d65853tls@tech.com,WatToby,027-54678703,,欣久技术有限公司,武汉冉伤路 15号 吕小区 66号楼 6单元 905室,北京现代职业技术学院,040303 体育教育训练学,旅游酒店管理师,湖州市,工程师,福建省,交通银行晋城分行泽州路支行,,于
骆晓旋,13626508456,4r8ppkihi@tech.com,PopeXaviera,027-54678704,,安盛技术有限公司,武汉衬疑路 04号 食小区 10号楼 3单元 759室,北京科技经营管理学院,040304 民族传统体育学,旅游咨询师,嘉兴市,主治医师、主管医师,四川省　,交通银行晋城分行建设路支行,,时
滑思聪,13906439144,r7tth1tnm@tech.com,WallaceHilary,027-54678705,,盈复技术有限公司,武汉泌肺路 05号 屏小区 90号楼 7单元 864室,北京科技职业学院,05 文学,烹饪工艺师,绍兴市,主管药师,重庆市,交通银行晋城分行南环街支行,,傅
性永怡,18572220768,hbf7b9r19@tech.com,GibsonZara,027-54678706,,裕大技术有限公司,武汉棺迷路 07号 韶小区 45号楼 8单元 282室,北京培黎职业学院,0501 中国语言文学,涉外旅游管理师,舟山市,主管护师,广西壮族自治区,交通银行晋城分行新市街支行,,皮
覃若英,18833915088,paoa61rdt@tech.com,EllenBlake,027-54678707,,茂全技术有限公司,武汉靡计路 16号 呛小区 81号楼 5单元 707室,北京经济管理职业学院,050101 文艺学,安全保卫师,宁波市,主管技师,山西省,交行晋城分行,,卞
诸葛易槐,18588189978,i0k0t31if@tech.com,EvaAllen,027-54678708,,浩捷技术有限公司,武汉肝实路 07号 倏小区 11号楼 7单元 576室,北京劳动保障职业学院,050102 语言学及应用语言学,边防船艇指挥师,金华市,农艺师,辽宁省,交行晋城分行营业部,,齐
褚水荷,13689065150,mr20ahqap@tech.com,FrankBarton,027-54678709,,国益技术有限公司,武汉手角路 08号 复小区 59号楼 5单元 420室,北京社会管理职业学院,050103 汉语言文字学,边防检查师,衢州市,兽医师,吉林省,交行晋城分行矿区支行,,康
刘康健,13960538237,7oop4mb0o@tech.com,StracheyIngrid,027-54678710,,浩公技术有限公司,武汉啪炼路 17号 肮小区 56号楼 3单元 975室,北京艺术传媒职业学院,050104 中国古典文献学,边防通信指挥师,台州市,畜牧师,黑龙江,交行晋城分行泽州路支行,,伍
始初兰,18867584489,msb5qtjkb@tech.com,HopeDominic,027-54678711,,润万技术有限公司,武汉翟辰路 08号 诰小区 40号楼 9单元 469室,北京体育职业学院,050105 中国古代文学,边防指挥师,丽水市,经济师,贵州省,交行晋城分行建设路支行,,余
藏尔阳,15184603686,jmat6ri3f@tech.com,ShakespeareHelen,027-54678712,,优金技术有限公司,武汉俑晨路 13号 葡小区 22号楼 7单元 168室,北京交通运输职业学院,050106 中国现当代文学,边境管理师,温州市,会(审)计师,陕西省,交行晋城分行南环街支行,,元
印采柳,15114343671,bionrme58@tech.com,DaniellDarren,027-54678713,,顺春技术有限公司,武汉蒂仪路 06号 锨小区 97号楼 4单元 593室,北京卫生职业学院,050107 中国少数民族语言文学,部队财务会计师,合肥市,统计师,云南省,交行晋城分行新市街支行,,卜
汉绮琴,15101576698,ld08n22b3@tech.com,RamanWilbur,027-54678714,,广丰技术有限公司,武汉嘶纯路 08号 赫小区 37号楼 7单元 139室,南开大学,050108 比较文学与世界文学,部队政治工作师,淮北市,馆员,内蒙古自治区,交通银行包头分行,,顾
范曼音,13953938342,bjrbb5tgd@tech.com,AndersonElla,027-54678715,,正协技术有限公司,武汉焊张路 09号 兔小区 18号楼 4单元 140室,天津大学,0502 外国语言文学,参谋业务师,亳州市,记者,甘肃省,交通银行包头分行营业部,,孟
陈快乐语,18521032769,b84g50a8a@tech.com,CarllyleAldrich,027-54678716,,耀慧德技术有限公司,武汉纪贝路 15号 罕小区 90号楼 8单元 155室,天津科技大学,050201 英语语言文学,船艇动力管理师,宿州市,编辑,青海省,交通银行包头分行环东分理处,,平
瞿梓颖,18809330534,2mnjhthrk@tech.com,WalterGloria,027-54678717,,皇中技术有限公司,武汉倩谆路 10号 兄小区 62号楼 5单元 264室,天津工业大学,050202 俄语语言文学,鞋类设计师,蚌埠市,馆员,宁夏回族自治区,交通银行包头分行红星分理处,,黄
蔚宇荫,13905157036,b9a2rpd46@tech.com,DupontBridget,027-54678718,,顺宝技术有限公司,武汉肛蒙路 07号 都宽年华小区 14号楼 2单元 768室,中国民航大学,050203 法语语言文学,印刷工程师,阜阳市,编辑,新疆维吾尔自治区,交通银行包头分行青山支行,,和
上官荷珠,18591439881,jt25kf26o@tech.com,YerkesFelix,027-54678719,,高协技术有限公司,武汉锨琳路 10号 颖小区 51号楼 7单元 273室,天津理工大学,050204 德语语言文学,印刷设备工艺师,淮南市,技术编辑,海南省,交通银行包头分行开发区支行,,穆
